59.330; 18.070; 1250400;
57.720; 12.010; 510300;
55.610; 13.020; 258600;
59.860; 17.640; 127400;
59.620; 16.540; 105700;
59.280; 15.220; 97700;
58.410; 15.630; 96100;
56.050; 12.700; 90400;
57.780; 14.170; 83100;
58.600; 16.170; 82900;
55.710; 13.200; 75800;
63.830; 20.240; 73200;
60.690; 17.130; 68300;
57.730; 12.940; 62900;
59.200; 17.630; 60200;
59.370; 16.510; 58600;
59.500; 18.070; 58400;
59.380; 13.510; 57300;
56.670; 12.860; 55200;
56.880; 14.800; 53100;
62.400; 17.330; 48300;
65.600; 22.160; 45400;
58.290; 12.300; 44400;
63.180; 14.650; 43000;
60.490; 15.440; 38900;
59.530; 17.920; 36600;
59.200; 17.810; 35600;
60.610; 15.620; 35300;
56.670; 16.360; 34400;
58.380; 13.840; 32600;
56.180; 15.590; 32300;
56.030; 14.150; 32100;
64.760; 20.990; 31100;
59.370; 18.150; 30900;
58.350; 11.930; 30200;
58.540; 15.040; 29800;
63.300; 18.720; 27900;
55.880; 12.830; 27800;
58.760; 17.020; 27400;
59.330; 14.500; 27400;
59.480; 18.310; 26400;
59.540; 18.080; 26400;
57.110; 12.250; 25700;
55.380; 13.150; 25400;
58.510; 13.160; 24600;
59.630; 17.840; 23000;
57.930; 12.540; 22700;
56.250; 12.870; 22300;
60.620; 16.770; 22300;
65.320; 21.510; 22100;
57.640; 18.300; 22000;
58.370; 12.330; 21700;
59.310; 18.140; 21500;
58.990; 16.200; 21100;
57.870; 11.990; 21000;
57.760; 16.630; 20100;
59.650; 17.090; 19700;
56.900; 12.510; 18500;
65.830; 21.700; 18400;
57.510; 12.100; 18300;
56.170; 14.870; 18200;
67.860; 20.220; 18100;
57.180; 14.050; 17900;
55.440; 13.840; 17200;
56.160; 13.760; 17200;
59.320; 14.110; 17200;
62.640; 17.930; 17200;
59.520; 15.990; 16800;
59.770; 18.700; 16800;
57.260; 16.450; 16700;
57.660; 14.700; 16100;
55.840; 13.300; 15800;
57.770; 12.280; 15800;
58.170; 13.560; 15100;
58.710; 13.820; 14900;
61.740; 17.110; 14700;
59.120; 18.080; 14500;
57.650; 12.130; 14400;
56.840; 13.940; 14300;
60.160; 16.180; 14300;
57.500; 12.650; 14200;
55.650; 13.200; 14100;
58.040; 14.970; 13900;
60.140; 15.180; 13800;
59.670; 12.590; 13700;
56.200; 12.550; 13500;
58.910; 17.950; 13500;
59.590; 17.490; 13400;
59.340; 13.480; 12800;
59.130; 15.130; 12700;
59.380; 17.020; 12400;
61.350; 16.390; 12300;
57.430; 15.080; 12200;
58.710; 15.780; 12200;
61.310; 17.080; 12200;
56.750; 15.910; 12100;
59.930; 16.600; 12000;
56.210; 15.280; 11700;
58.330; 15.130; 11600;
57.560; 12.090; 10800;
58.380; 13.440; 10700;
58.670; 17.130; 10700;
60.000; 15.810; 10600;
62.480; 17.320; 10200;
